"ID","NAME_TH","APP_NAME_TH","NAME_EN","APP_NAME_EN","GROUP_TYPE_TH","GROUP_TYPE_EN","CATEGORY_TH","CATEGORY_EN","UNIT_TH","UNIT_EN"
W18046,เนื้อมะพร้าวขาว รับซื้อหน้าโรงงาน,เนื้อมะพร้าวขาว รับซื้อหน้าโรงงาน ขายส่ง,White Coconut Meat (Price at Factory),White Coconut Meat (Price at Factory) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18047,น้ำมันมะพร้าวดิบ,น้ำมันมะพร้าวดิบ ขายส่ง,Crude Coconut Oil,Crude Coconut Oil Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18048,น้ำมันมะพร้าวดิบ ราคาซื้อขายทั่วไปส่งมอบถึงผู้ซื้อ,น้ำมันมะพร้าวดิบ ราคาซื้อขายทั่วไปส่งมอบถึงผู้ซื้อ ขายส่ง,Typical Price for Crude Coconut Oil,Typical Price for Crude Coconut Oil Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18049,น้ำมันมะพร้าวสำเร็จรูป บรรจุปีบ 13.75 ลิตร (12.50 กก.) (ราคาที่โรงงานกลั่นขายส่ง ส่งมอบถึงยี่ปั๊ว),น้ำมันมะพร้าวสำเร็จรูป บรรจุปีบ 13.75 ลิตร (12.50 กก.) (ราคาที่โรงงานกลั่นขายส่ง ส่งมอบถึงยี่ปั๊ว) ขายส่ง,"13.75-Liter (12.50 kg) Tin of Refined Coconut Oil (Price from Refinery to Wholesaler)","13.75-Liter (12.50 kg) Tin of Refined Coconut Oil (Price from Refinery to Wholesaler) Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18050,น้ำมันมะพร้าวสำเร็จรูป บรรจุปีบ 13.75 ลิตร (12.50 กก.) ตราผักกาด,น้ำมันมะพร้าวสำเร็จรูป บรรจุปีบ 13.75 ลิตร (12.50 กก.) ตราผักกาด ขายส่ง,"13.75-Liter (12.50 kg) Tin of Refined Coconut Oil (Price from Refinery to Wholesaler, Phakkat Brand)","13.75-Liter (12.50 kg) Tin of Refined Coconut Oil (Price from Refinery to Wholesaler, Phakkat Brand) Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18051,น้ำมันมะพร้าวสำเร็จรูป บรรจุปีบ 13.75 ลิตร (12.50 กก.) ตราไพ่ป๊อก,น้ำมันมะพร้าวสำเร็จรูป บรรจุปีบ 13.75 ลิตร (12.50 กก.) ตราไพ่ป๊อก ขายส่ง,"13.75-Liter (12.50 kg) Tin of Refined Coconut Oil (Price from Refinery to Wholesaler, Pai-Pok Brand)","13.75-Liter (12.50 kg) Tin of Refined Coconut Oil (Price from Refinery to Wholesaler, Pai-Pok Brand) Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18052,น้ำมันมะพร้าวสำเร็จรูป บรรจุปีบ 13.75 ลิตร (12.50 กก.) ตราดอกไม้,น้ำมันมะพร้าวสำเร็จรูป บรรจุปีบ 13.75 ลิตร (12.50 กก.) ตราดอกไม้ ขายส่ง,"13.75-Liter (12.50 kg) Tin of Refined Coconut Oil (Price from Refinery to Wholesaler, Flower Brand)","13.75-Liter (12.50 kg) Tin of Refined Coconut Oil (Price from Refinery to Wholesaler, Flower Brand) Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18053,เมล็ดถั่วเหลือง เกรดแปรรูป-ผลิตภัณฑ์อาหาร,เมล็ดถั่วเหลือง เกรดแปรรูป-ผลิตภัณฑ์อาหาร ขายส่ง,Food-Grade Soybean,Food-Grade Soybean Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18054,เมล็ดถั่วเหลือง เกรดผลิตอาหารสัตว์,เมล็ดถั่วเหลือง เกรดผลิตอาหารสัตว์ ขายส่ง,Feed-Grade Soybean,Feed-Grade Soybean Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18055,เมล็ดถั่วเหลือง เกรดสกัดน้ำมัน (สกัดน้ำมัน ความชื้นไม่เกิน 13%),เมล็ดถั่วเหลือง เกรดสกัดน้ำมัน (สกัดน้ำมัน ความชื้นไม่เกิน 13%) ขายส่ง,Oil-Grade Soybean (Moisture ≤13%),Oil-Grade Soybean (Moisture ≤13%) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18056,น้ำมันถั่วเหลืองบริสุทธิ์ บรรจุถัง 200 ลิตร,น้ำมันถั่วเหลืองบริสุทธิ์ บรรจุถัง 200 ลิตร ขายส่ง,"200-Liter Drum of Pure Soybean Oil","200-Liter Drum of Pure Soybean Oil Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18057,น้ำมันถั่วเหลืองบริสุทธิ์ บรรจุปี๊บ 13.75 ลิตร (12.50 กก.),น้ำมันถั่วเหลืองบริสุทธิ์ บรรจุปี๊บ 13.75 ลิตร (12.50 กก.) ขายส่ง,"13.75-Liter (12.50 kg) Tin of Pure Soybean Oil","13.75-Liter (12.50 kg) Tin of Pure Soybean Oil Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18058,น้ำมันถั่วเหลืองบริสุทธิ์ บรรจุขวด 1 ลิตร หน้าโรงงาน ตราองุ่น,น้ำมันถั่วเหลืองบริสุทธิ์ บรรจุขวด 1 ลิตร หน้าโรงงาน ตราองุ่น ขายส่ง,"1-Liter Bottle of Pure Soybean Oil (Price at Factory, Grape Brand)","1-Liter Bottle of Pure Soybean Oil (Price at Factory, Grape Brand) Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18059,น้ำมันถั่วเหลืองบริสุทธิ์ บรรจุขวด 1 ลิตร หน้าโรงงาน ตรากุ๊ก,น้ำมันถั่วเหลืองบริสุทธิ์ บรรจุขวด 1 ลิตร หน้าโรงงาน ตรากุ๊ก ขายส่ง,"1-Liter Bottle of Pure Soybean Oil (Price at Factory, Cook Brand)","1-Liter Bottle of Pure Soybean Oil (Price at Factory, Cook Brand) Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18060,น้ำมันถั่วเหลืองบริสุทธิ์ บรรจุขวด 1 ลิตร ตลาดกรุงเทพฯ ตราองุ่น,น้ำมันถั่วเหลืองบริสุทธิ์ บรรจุขวด 1 ลิตร ตลาดกรุงเทพฯ ตราองุ่น ขายส่ง,"1-Liter Bottle of Pure Soybean Oil (Bangkok Market, Grape Brand)","1-Liter Bottle of Pure Soybean Oil (Bangkok Market, Grape Brand) Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18061,น้ำมันถั่วเหลืองบริสุทธิ์ บรรจุขวด 1 ลิตร ตลาดกรุงเทพฯ ตรากุ๊ก,น้ำมันถั่วเหลืองบริสุทธิ์ บรรจุขวด 1 ลิตร ตลาดกรุงเทพฯ ตรากุ๊ก ขายส่ง,"1-Liter Bottle of Pure Soybean Oil (Bangkok Market, Cook Brand)","1-Liter Bottle of Pure Soybean Oil (Bangkok Market, Cook Brand) Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18062,น้ำมันรำข้าวบริสุทธิ์ บรรจุปี๊บ 13.75 ลิตร (12.50 กก.),น้ำมันรำข้าวบริสุทธิ์ บรรจุปี๊บ 13.75 ลิตร (12.50 กก.) ขายส่ง,"13.75-Liter (12.50 kg) Tin of Refined Rice Bran Oil","13.75-Liter (12.50 kg) Tin of Refined Rice Bran Oil Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18063,น้ำมันรำข้าวบริสุทธิ์ บรรจุขวด 1 ลิตร ตราคิง,น้ำมันรำข้าวบริสุทธิ์ บรรจุขวด 1 ลิตร ตราคิง ขายส่ง,"1-Liter Bottle of Refined Rice Bran Oil (King Brand)","1-Liter Bottle of Refined Rice Bran Oil (King Brand) Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18064,น้ำมันรำข้าวบริสุทธิ์ บรรจุขวด 1 ลิตร ตราชิม,น้ำมันรำข้าวบริสุทธิ์ บรรจุขวด 1 ลิตร ตราชิม ขายส่ง,"1-Liter Bottle of Refined Rice Bran Oil (Chim Brand)","1-Liter Bottle of Refined Rice Bran Oil (Chim Brand) Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18065,ถั่วลิสงกะเทาะเปลือก คัดพิเศษ,ถั่วลิสงกะเทาะเปลือก คัดพิเศษ ขายส่ง,Shelled Peanut (Premium Grade),Shelled Peanut (Premium Grade) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18066,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา ขายส่ง,Shelled Peanut (Standard Grade),Shelled Peanut (Standard Grade) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18067,ถั่วลิสงกะเทาะเปลือก คละ,ถั่วลิสงกะเทาะเปลือก คละ ขายส่ง,Shelled Peanut (Mixed Grade),Shelled Peanut (Mixed Grade) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18068,น้ำมันถั่วลิสงบริสุทธิ์ บรรจุปี๊ป 15 กก.,น้ำมันถั่วลิสงบริสุทธิ์ บรรจุปี๊ป 15 กก. ขายส่ง,"15-kg Tin of Pure Peanut Oil","15-kg Tin of Pure Peanut Oil Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18069,น้ำมันถั่วลิสงบริสุทธิ์ บรรจุปี๊ป 13.75 ลิตร (12.50 กก.),น้ำมันถั่วลิสงบริสุทธิ์ บรรจุปี๊ป 13.75 ลิตร (12.50 กก.) ขายส่ง,"13.75-Liter (12.50 kg) Tin of Pure Peanut Oil","13.75-Liter (12.50 kg) Tin of Pure Peanut Oil Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18070,น้ำมันถั่วลิสงบริสุทธิ์ บรรจุขวด 2 ลิตร,น้ำมันถั่วลิสงบริสุทธิ์ บรรจุขวด 2 ลิตร ขายส่ง,"2-Liter Bottle of Pure Peanut Oil","2-Liter Bottle of Pure Peanut Oil Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18071,น้ำมันถั่วลิสงบริสุทธิ์ บรรจุขวด 1 ลิตร ตรากวางบิน,น้ำมันถั่วลิสงบริสุทธิ์ บรรจุขวด 1 ลิตร ตรากวางบิน ขายส่ง,"1-Liter Bottle of Pure Peanut Oil (Flying Deer Brand)","1-Liter Bottle of Pure Peanut Oil (Flying Deer Brand) Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18072,เมล็ดทานตะวัน ราคารับซื้อ ณ แหล่งผลิต,เมล็ดทานตะวัน ราคารับซื้อ ณ แหล่งผลิต ขายส่ง,Sunflower Seeds (Buying Price at Farm),Sunflower Seeds (Buying Price at Farm) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18073,เมล็ดทานตะวัน ที่โรงงานหีบ รับซื้อหน้าโรงงาน,เมล็ดทานตะวัน ที่โรงงานหีบ รับซื้อหน้าโรงงาน ขายส่ง,Sunflower Seeds (Buying Price at Factory),Sunflower Seeds (Buying Price at Factory) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18074,น้ำมันทานตะวันสำเร็จรูป (ราคาที่โรงงานกลั่น ขายส่งถึงยี่ปั๊ว),น้ำมันทานตะวันสำเร็จรูป (ราคาที่โรงงานกลั่น ขายส่งถึงยี่ปั๊ว) ขายส่ง,Refined Sunflower Oil (Price from Refinery to Wholesaler),Refined Sunflower Oil (Price from Refinery to Wholesaler) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
