StationID,WmoCode,StationNameThai,StationNameEnglish,StationType,ZipCode,Latitude,Longitude,HeightAboveMSL,HeightofWindWane,HeightofBarometer,HeightofThermometer,province_id
2408001301,48458,ฉะเชิงเทรา,CHACHOENGSAO,สถานีอุตุนิยมวิทยา(เกษตร),24160,13.515555555556,101.45833333333,70.17,11.00,70.17,1.20,PROV15
2501001201,48430,ปราจีนบุรี,PRACHIN BURI,สถานีอุตุนิยมวิทยา,25000,14.058416666667,101.36930555556,5.14,10.00,7.14,1.50,PROV16
2502001401,48439,กบินทร์บุรี,KABIN BURI,สถานีอุตุนิยมวิทยา(อุทก),25110,13.983333333333,101.70722222222,12.74,11.00,12.56,1.40,PROV16
2701001401,48440,สระแก้ว,SA KAEW,สถานีอุตุนิยมวิทยา(อุทก),27000,13.788888888889,102.03472222222,42.93,11.00,43.16,1.30,PROV18
2706001201,48462,อรัญประเทศ,ARANYA PRATHET,สถานีอุตุนิยมวิทยา,27120,13.7,102.58333333333,47.00,14.20,49.00,1.20,PROV18
3001001201,48431,นครราชสีมา,NAKHON RATCHASIMA,สถานีอุตุนิยมวิทยา,30000,14.968305555556,102.08602777778,186.60,11.50,187.02,1.25,PROV19
3007001401,48434,โชคชัย,CHOK CHAI,สถานีอุตุนิยมวิทยา(อุทก),30190,14.718888888889,102.16861111111,190.34,12.50,193.32,1.44,PROV19
3021001301,48435,ปากช่อง สกษ.,PAKCHONG AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),30320,14.643888888889,101.33194444444,386.12,11.15,387.92,1.25,PROV19
3104001401,48436,นางรอง,NANG RONG,สถานีอุตุนิยมวิทยา(อุทก),31110,14.583333333333,102.8,179.00,11.10,181.70,1.50,PROV20
3111001201,48437,บุรีรัมย์,BURIRUM,สถานีอุตุนิยมวิทยา,31150,15.22575,103.24808333333,182.00,11.30,184.00,2.00,PROV20
3201001201,48432,สุรินทร์,SURIN,สถานีอุตุนิยมวิทยา,32000,14.883333333333,103.5,145.81,11.50,147.36,1.20,PROV21
3201001301,48433,สุรินทร์ สกษ.,SURIN AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),32000,14.883333333333,103.45,142.56,11.00,144.82,1.25,PROV21
3203001401,48416,ท่าตูม,THA TUM,สถานีอุตุนิยมวิทยา(อุทก),32120,15.316666666667,103.68333333333,127.62,10.93,129.30,1.30,PROV21
3301001301,48409,ศรีสะเกษ,SI SAKET AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),33000,15,104.05,122.87,1.00,127.32,1.00,PROV22
3401001501,48407,อุบลราชธานี (ศูนย์ฯ),UBON RATCHATHANI,ศูนย์อุตุนิยมวิทยา,34000,15.25,104.86666666667,122.00,11.75,123.50,1.50,PROV23
3432001301,48408,อุบลราชธานี สกษ.,UBON RATCHATHANI AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),34190,15.239138888889,105.0235,129.76,10.70,130.56,1.25,PROV23
3601001201,48403,ชัยภูมิ,CHAIYAPHUM,สถานีอุตุนิยมวิทยา,36000,15.8,102.03333333333,182.15,12.15,184.39,1.20,PROV25
4001001201,48381,ขอนแก่น,KHON KAEN,สถานีอุตุนิยมวิทยา,40000,16.461111111111,102.78972222222,186.97,18.75,193.66,1.25,PROV29
4001001202,{},{},Khon Kaen Airport,สถานีอุตุนิยมวิทยา,{},{},{},{'@attributes': {'unit': 'm.'}},{'@attributes': {'unit': 'm.'}},{'@attributes': {'unit': 'm.'}},{'@attributes': {'unit': 'm.'}},PROV29
4001001301,48384,ท่าพระ สกษ.,THA PHRA AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),40260,16.333333333333,102.81666666667,166.00,11.00,166.70,1.25,PROV29
4101001201,48354,อุดรธานี,UDON THANI,สถานีอุตุนิยมวิทยา,41000,17.383333333333,102.8,177.00,12.00,178.10,1.50,PROV30
4201001201,48353,เลย,LOEI,สถานีอุตุนิยมวิทยา,42000,17.45,101.73333333333,252.51,10.80,254.25,1.25,PROV31
4201001301,48350,เลย สกษ.,LOEI AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),42000,17.4,101.73333333333,260.30,12.00,263.60,1.30,PROV31
4301001201,48352,หนองคาย,NONG KHAI,สถานีอุตุนิยมวิทยา,43000,17.867166666667,102.73302777778,173.21,12.50,174.02,1.25,PROV32
4403001401,48382,มหาสารคาม,MAHASARAKHAM,สถานีอุตุนิยมวิทยา(อุทก),44140,16.247222222222,103.06805555556,153.00,11.80,154.00,1.20,PROV33
4501001201,48405,ร้อยเอ็ด,ROI ET,สถานีอุตุนิยมวิทยา,45000,16.02,103.74388888889,140.00,11.33,142.41,1.20,PROV34
4501001301,48404,ร้อยเอ็ด สกษ.,ROI ET AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),45000,16.073222222222,103.60844444444,153.00,11.00,155.81,1.25,PROV34
4603001401,48390,กาฬสินธุ์,KALASIN,สถานีอุตุนิยมวิทยา(อุทก),46130,16.3325,103.58833333333,138.75,11.70,140.86,1.30,PROV35
4701001201,48356,สกลนคร,SAKON NAKHON,สถานีอุตุนิยมวิทยา,47000,17.15,104.13333333333,171.00,10.65,172.00,1.20,PROV36
4701001301,48355,สกลนคร สกษ.,SAKON NAKHON AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),47000,17.125027777778,104.061,192.00,10.00,192.03,1.25,PROV36
4801001201,48357,นครพนม,NAKHON PHANOM,สถานีอุตุนิยมวิทยา,48000,17.410833333333,104.7825,140.00,11.20,147.56,1.20,PROV37
4801001301,48358,นครพนม สกษ.,NAKHON PHANOM AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),48000,17.443055555556,104.77361111111,153.13,10.00,153.46,1.25,PROV37
